what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688363218
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688379339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688383676
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688388099
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688390394
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1432688393407
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688394845
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1432688402457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688403594
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1432688411280
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688413689
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1432688422668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688423723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688431533
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1432688451734
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688451931
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688452056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688470677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688471653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688471674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688523113
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688523687
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688525163
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688526717
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432688535065
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688535365
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688535766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688542586
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688543153
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688543621
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688553726
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688554189
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688557836
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688574645
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688575022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688592311
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688594703
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688602136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688605809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688613236
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688616327
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688625649
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688629005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688634264
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688641267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688644160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688651382
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688657581
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688676964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688684965
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688711353
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688721435
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1432688724981
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688726929
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688730392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688731963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688733077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688756129
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688758061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688791125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688794565
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688800719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688821927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688823367
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688823875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688843914
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1432688854811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688858617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688865617
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688866809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1432688874139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1432688880624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688881077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688881764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688890474
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688891777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688902717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688913048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688917062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688921184
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688921717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688933970
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432688976102
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1432688976884
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432688983627
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688984024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688988451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688990427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688993629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688994070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432688995541
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432689004710
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689007959
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689008154
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689008312
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689008434
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689008653
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689008826
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1432689009000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432689050504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689052828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689074097
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432689077877
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689078201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689097961
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1432689106488
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432689106719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1432689119803
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689120245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689127272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689128260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1432689137814
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432689140337
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432689149674
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432689152353
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1432689159276
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1432689160953
